ID	vgaC	TEM-1	CRP	adeF	acrB	UhpT mutation	tet(D)	tetR	sdiA	tet(A)	ramR mutation	floR	sul1	CMY-2	kdpE	GlpT mutation	msrB	emrD	emrA	sul2	soxR mutation	cpxA	patA	H-NS	mdsA	mdsB	acrA	AAC(3)-VIa	emrB	APH(6)-Id	aadA	AAC(6')-Iy	marA	mdsC	AAC(6')-Iaa	golS	msbA	MdtK	APH(3'')-Ib	emrR	soxS mutation	marR mutation	baeR	PBP3	FosA7	mdfA	PmrF	bacA
3319	1	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1
3321	1	0	1	1	1	1	0	0	1	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	0	0	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1
3322	1	0	1	1	1	1	0	0	1	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	0	0	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1
3302	1	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1
3305	1	0	1	1	1	1	0	0	1	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	0	0	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1
3306	1	0	1	1	1	1	0	0	1	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	0	0	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1
3310	1	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1
3311	1	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1
3314	1	0	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1
3315	1	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1
3317	1	0	1	1	1	1	0	0	1	0	0	0	0	0	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	0	0	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1
3323	1	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1
3324	1	0	1	1	1	1	0	0	1	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	0	0	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1
3326	1	0	1	1	1	1	0	0	1	0	0	0	0	0	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	0	0	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1
3339	0	0	1	0	1	1	0	0	1	0	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1
3341	1	0	1	1	1	1	0	0	1	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	0	0	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1
3344	1	0	1	1	1	1	0	0	1	0	0	0	0	0	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	0	0	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1
3349	1	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1
1793	0	0	1	0	1	1	0	0	1	0	0	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1
3166	0	0	1	0	1	1	0	0	1	0	0	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1
